level,metric_name,dataset,split,label,mean,None
patch-level,MMD,mvtec_capsule_0.02,val,0,0.18778106726638072,0
patch-level,MMD,mvtec_capsule,test,0,0.21634896727609818,0
patch-level,MMD,mvtec_capsule,train,0,0.21720057147937055,0
patch-level,MMD,mvtec_capsule_0.02,test,0,0.21729200725160205,0
patch-level,MMD,mvtec_capsule_0.02,val,1,0.2416426343615993,0
patch-level,MMD,mvtec_capsule,val,1,0.2426345382107778,0
patch-level,MMD,mvtec_capsule,test,1,0.24634608123536603,0
patch-level,MMD,mvtec_capsule_0.02,test,1,0.2473639532145997,0
patch-level,MMD,mvtec_capsule+pill,val,0,0.3303818704785292,0
patch-level,MMD,mvtec_capsule_0.02+pill_0.02,val,0,0.3320057905705407,0
patch-level,MMD,mvtec_capsule+pill,test,0,0.3954878644037602,0
patch-level,MMD,mvtec_capsule_0.02+pill_0.02,test,0,0.39608729512391383,0
patch-level,MMD,lg_PCBNG_0.01_M,val,1,0.3968771058214835,0
patch-level,MMD,mvtec_capsule_0.02+pill_0.02,train,0,0.4094490439690768,0
patch-level,MMD,mvtec_capsule+pill+bottle,val,0,0.43660555427473796,0
patch-level,MMD,lg_PCBNG_0.01,val,0,0.43747211778797535,0
patch-level,MMD,lg_PCBNG_0.1,val,0,0.4398625108537462,0
patch-level,MMD,lg_PCBNG,val,0,0.43992052623765043,0
patch-level,MMD,lg_PCBNG_0.01_M,val,0,0.4415635712385902,0
patch-level,MMD,mvtec_capsule+pill,val,1,0.4441156064878754,0
patch-level,MMD,mvtec_capsule_0.02+pill_0.02,val,1,0.44438595386674595,0
patch-level,MMD,mvtec_capsule_0.02+pill_0.02,test,1,0.45056778733049496,0
patch-level,MMD,mvtec_capsule+pill,test,1,0.4518602520048639,0
image-level,MMD,mvtec_capsule_0.02+pill_0.02,val,0,0.4521835226153391,0
image-level,MMD,mvtec_capsule+pill,val,0,0.45545849265986854,0
patch-level,MMD,lg_PCBNG_0.01,train,0,0.4721119971970047,0
patch-level,MMD,lg_PCBNG_0.01_M,train,0,0.47700757414702327,0
patch-level,MMD,mvtec_capsule+pill+bottle,test,0,0.5093050373396187,0
patch-level,MMD,mvtec_capsule+pill,train,0,0.5142076338293796,0
image-level,MMD,mvtec_capsule_0.02,train,0,0.5738446501415763,0
